S 18ef14,4 hit
S 18ef18,4 hit
S 18ef1c,4 hit
S 18ef20,4 miss eviction
S 18ef24,4 hit
S 18ef28,4 hit
S 18ef2c,4 hit
S 18ef30,4 hit
S 18ef34,4 hit
S 18ef38,4 hit
S 18ef3c,4 hit
S 18ef40,4 miss eviction
S 18ef44,4 hit
S 18ef48,4 hit
S 18ef4c,4 hit
S 18ef50,4 hit
S 18ef54,4 hit
S 18ef58,4 hit
S 18ef5c,4 hit
S 18ef60,4 miss eviction
S 18ef64,4 hit
S 18ef68,4 hit
S 18ef6c,4 hit
S 18ef70,4 hit
S 18ef74,4 hit
S 18ef78,4 hit
S 18ef7c,4 hit
S 18ef80,4 miss eviction
S 18ef84,4 hit
S 18ef88,4 hit
S 18ef8c,4 hit
S 18ef90,4 hit
S 18ef94,4 hit
S 18ef98,4 hit
S 18ef9c,4 hit
S 18efa0,4 miss eviction
S 18efa4,4 hit
S 18efa8,4 hit
S 18efac,4 hit
S 18efb0,4 hit
S 18efb4,4 hit
S 18efb8,4 hit
S 18efbc,4 hit
S 18efc0,4 miss eviction
S 18efc4,4 hit
S 18efc8,4 hit
S 18efcc,4 hit
S 18efd0,4 hit
S 18efd4,4 hit
S 18efd8,4 hit
S 18efdc,4 hit
S 18efe0,4 miss eviction
S 18efe4,4 hit
S 18efe8,4 hit
S 18efec,4 hit
S 18eff0,4 hit
S 18eff4,4 hit
S 18eff8,4 hit
S 18effc,4 hit
S 18f000,4 miss eviction
S 18f004,4 hit
S 18f008,4 hit
S 18f00c,4 hit
S 18f010,4 hit
S 18f014,4 hit
S 18f018,4 hit
S 18f01c,4 hit
S 18f020,4 miss eviction
S 18f024,4 hit
S 18f028,4 hit
S 18f02c,4 hit
S 18f030,4 hit
S 18f034,4 hit
S 18f038,4 hit
S 18f03c,4 hit
S 18f040,4 miss eviction
S 18f044,4 hit
S 18f048,4 hit
S 18f04c,4 hit
S 18f050,4 hit
S 18f054,4 hit
S 18f058,4 hit
S 18f05c,4 hit
S 18f060,4 miss eviction
S 18f064,4 hit
S 18f068,4 hit
S 18f06c,4 hit
S 18f070,4 hit
S 18f074,4 hit
S 18f078,4 hit
S 18f07c,4 hit
S 18f080,4 miss eviction
S 18f084,4 hit
S 18f088,4 hit
S 18f08c,4 hit
S 18f090,4 hit
S 18f094,4 hit
S 18f098,4 hit
